service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260305,20260630
2,1,1,1,1,1,0,0,20260305,20260630
3,0,0,0,0,0,1,0,20260307,20260627
4,0,0,0,0,0,0,1,20260308,20260628
5,1,1,0,1,0,0,0,20260305,20260630
6,0,1,1,1,1,0,0,20260402,20260417
7,0,0,1,0,1,0,0,20260306,20260626
8,1,1,0,1,1,0,0,20260305,20260630
9,1,1,0,1,0,0,0,20260305,20260630
10,0,0,1,0,0,0,0,20260311,20260624
11,0,0,1,0,1,0,0,20260306,20260626
